type,timestamp,lat,lng,value,severity,description,limit,excess,zone_type,ride_id
vertical_impact,1771109315830.0,49.2387736,-122.9216691,0.97,high,Vertical impact detected: 0.97g variance,,,,3
sudden_stop,1771109316176.0,49.2387148,-122.9217764,8.07,high,Sudden stop: 8.1 km/h drop in 403.0s,,,,3
vertical_impact,1771109316873.0,49.2386732,-122.9218609,1.01,high,Vertical impact detected: 1.01g variance,,,,3
vertical_impact,1771109317956.0,49.2386399,-122.921927,0.99,high,Vertical impact detected: 0.99g variance,,,,3
vertical_impact,1771109319026.0,49.2386109,-122.921986,0.95,high,Vertical impact detected: 0.95g variance,,,,3
vertical_impact,1771109320108.0,49.2386109,-122.921986,1.01,high,Vertical impact detected: 1.01g variance,,,,3
vertical_impact,1771109321186.0,49.2385631,-122.9220757,0.99,high,Vertical impact detected: 0.99g variance,,,,3
vertical_impact,1771109322252.0,49.2385336,-122.9221352,0.96,high,Vertical impact detected: 0.96g variance,,,,3
vertical_impact,1771109323311.0,49.2385336,-122.9221352,1.06,high,Vertical impact detected: 1.06g variance,,,,3
vertical_impact,1771109324395.0,49.238499,-122.9222069,1.02,high,Vertical impact detected: 1.02g variance,,,,3
vertical_impact,1771109325464.0,49.238499,-122.9222069,1.01,high,Vertical impact detected: 1.01g variance,,,,3
vertical_impact,1771109326531.0,49.2384712,-122.9222629,0.98,high,Vertical impact detected: 0.98g variance,,,,3
vertical_impact,1771109327591.0,49.2384427,-122.9223248,1.03,high,Vertical impact detected: 1.03g variance,,,,3
vertical_impact,1771109328641.0,49.2383683,-122.9224721,1.07,high,Vertical impact detected: 1.07g variance,,,,3
vertical_impact,1771109329706.0,49.2383282,-122.9225582,0.98,high,Vertical impact detected: 0.98g variance,,,,3
vertical_impact,1771109330785.0,49.2382853,-122.922651,1.02,high,Vertical impact detected: 1.02g variance,,,,3
vertical_impact,1771109331850.0,49.2382396,-122.9227532,1.01,high,Vertical impact detected: 1.01g variance,,,,3
vertical_impact,1771109332929.0,49.2381887,-122.9228613,0.88,high,Vertical impact detected: 0.88g variance,,,,3
